,baseline_1,baseline_2,baseline_7,sl_lstm,ml_lstm,sl_lstm_s2s,ml_lstm_s2s,cnn_sl_lstm_s2s,cnn_ml_lstm_s2s,addictive_sl,addictive_ml,multihead_sl,multihead_ml,nbeats_lstm,nbeats_add_lstm,nbeats_mh_lstm
60,9.678536,8.927197,9.277816,9.847396,14.415475,15.13234,14.152358,13.077365,11.954885,11.625706,10.90912,10.205519,9.606282,9.121112,8.676379,8.281393
61,9.706233,8.928403,9.278488,9.860453,14.4240465,15.136848,14.154053,13.079628,11.957168,11.626197,10.910752,10.207016,9.607515,9.122185,8.677288,8.28222
62,9.711192,8.932352,9.279786,9.873475,14.432666,15.141351,14.1557045,13.081891,11.959403,11.6267,10.912355,10.208434,9.608763,9.123211,8.678241,8.2830515
63,9.716965,8.942779,9.283766,9.886426,14.441302,15.145903,14.1573305,13.084167,11.961734,11.627193,10.913998,10.20988,9.609996,9.124161,8.67919,8.283869
64,9.716971,8.953836,9.284204,9.89956,14.450078,15.150468,14.1589985,13.086485,11.964057,11.627658,10.9156,10.211289,9.611244,9.125029,8.6801195,8.284703
65,9.733622,8.959227,9.288714,9.912508,14.45873,15.155059,14.160725,13.088747,11.966315,11.628133,10.917198,10.212725,9.612464,9.126025,8.681053,8.285521
66,9.737234,8.961828,9.2969,9.925667,14.4674015,15.159606,14.16235,13.090992,11.968644,11.628603,10.918788,10.214164,9.613701,9.126919,8.681987,8.286324
67,9.738038,8.962045,9.308519,9.938688,14.47593,15.16345,14.163629,13.092829,11.970629,11.629015,10.920137,10.215358,9.614707,9.127633,8.6827755,8.287043
68,9.739657,8.962064,9.311671,9.9517,14.484489,15.167953,14.165126,13.095052,11.973001,11.629488,10.921715,10.216735,9.615952,9.128651,8.68375,8.287891
69,9.763822,8.966135,9.315091,9.964666,14.493084,15.172477,14.166672,13.097306,11.975259,11.629895,10.923269,10.218219,9.617218,9.129706,8.684633,8.288772
70,9.794174,8.967977,9.325391,9.977722,14.5017395,15.177059,14.168115,13.099534,11.977534,11.630349,10.9249,10.219642,9.618493,9.130727,8.685586,8.289638
71,9.816292,8.969654,9.330904,9.990502,14.510278,15.181644,14.169616,13.101844,11.979819,11.630791,10.926498,10.221068,9.619771,9.131013,8.68656,8.290277
72,9.817299,8.974247,9.332486,10.003575,14.518863,15.186252,14.171078,13.104162,11.982157,11.631277,10.928183,10.222483,9.6210165,9.131702,8.687514,8.291115
73,9.863859,8.9833765,9.338825,10.016545,14.527336,15.19081,14.172623,13.106477,11.984451,11.631762,10.929789,10.223927,9.622161,9.132055,8.688462,8.291945
74,9.890065,8.98502,9.346902,10.026992,14.534362,15.195434,14.174227,13.1087265,11.986628,11.632243,10.931442,10.225425,9.6233835,9.132698,8.68943,8.292751
75,9.90681,8.986005,9.347646,10.039863,14.543015,15.199976,14.175728,13.111018,11.988845,11.632732,10.933087,10.226834,9.624639,9.13306,8.690362,8.293609
76,9.90993,8.997426,9.348035,10.052735,14.551505,15.20463,14.177335,13.113296,11.991144,11.633247,10.934693,10.228321,9.625819,9.133712,8.691323,8.2943945
77,9.910512,8.998359,9.349457,10.065784,14.560062,15.2093,14.178873,13.115605,11.993447,11.633714,10.93635,10.229793,9.626925,9.134152,8.692268,8.295212
78,9.911432,9.003117,9.3640585,10.078551,14.56869,15.213838,14.180511,13.117907,11.995726,11.634217,10.937968,10.231244,9.628223,9.134762,8.693213,8.296038
79,9.955699,9.005282,9.364297,10.091443,14.577356,15.218324,14.182,13.12011,11.998057,11.634714,10.939642,10.232703,9.629461,9.135196,8.6941595,8.296835
80,9.959973,9.010031,9.373786,10.104115,14.585906,15.222932,14.183528,13.122396,12.000396,11.635193,10.9413,10.234123,9.630655,9.135774,8.69517,8.297642
81,9.963145,9.011355,9.376382,10.116875,14.594364,15.227469,14.1851845,13.124601,12.002713,11.635604,10.942967,10.235549,9.631871,9.136229,8.696088,8.2984705
82,9.966933,9.032379,9.379068,10.129806,14.602954,15.231252,14.186552,13.126449,12.00455,11.635932,10.944296,10.23667,9.632899,9.136848,8.69681,8.29906
83,10.018652,9.044895,9.380958,10.142711,14.611536,15.235766,14.188121,13.128619,12.006789,11.63639,10.945848,10.238051,9.634101,9.137793,8.697669,8.299815
84,10.057399,9.05529,9.382314,10.155469,14.620034,15.240224,14.189666,13.1308,12.009036,11.636788,10.947395,10.239458,9.635226,9.138747,8.698537,8.30053
85,10.059669,9.056154,9.383856,10.168357,14.628425,15.244649,14.191279,13.13298,12.011298,11.637221,10.948932,10.240884,9.636418,9.139668,8.699374,8.301268
86,10.074118,9.060513,9.384152,10.181266,14.637035,15.249105,14.192855,13.135225,12.013523,11.637605,10.950519,10.242277,9.63762,9.140624,8.700274,8.301979
87,10.077748,9.062542,9.385505,10.194101,14.645475,15.253632,14.194471,13.1374035,12.015747,11.638043,10.952081,10.243671,9.638779,9.141603,8.701121,8.302716
88,10.079579,9.063725,9.386435,10.206875,14.653883,15.258137,14.196187,13.139578,12.0179825,11.638476,10.953646,10.245086,9.639927,9.142553,8.701989,8.303495
89,10.112995,9.066654,9.38971,10.217286,14.660908,15.262646,14.197827,13.141781,12.020228,11.63888,10.955251,10.246462,9.6411,9.143517,8.702885,8.304222
