loss,mean_absolute_error,val_loss,val_mean_absolute_error,mean_absolute_percentage_error,val_mean_absolute_percentage_error
0.0038052432,0.024546118,0.003497266,0.022989616,9.434898,8.242498
0.003802921,0.02457626,0.003486128,0.022287909,9.436508,8.162678
0.0037946631,0.024513902,0.003493855,0.022795405,9.400041,8.2119665
0.0038022157,0.024579203,0.0034944382,0.023163557,9.429086,8.227271
0.0038102248,0.024620008,0.0034538405,0.020833572,9.420346,8.038989
0.0038034525,0.024531387,0.0034769806,0.023032894,9.425431,8.256333
0.00379334,0.024529394,0.0034354287,0.024045689,9.414698,8.342342
0.0038049049,0.024546698,0.0035261088,0.02299167,9.434566,8.224982
0.0037858353,0.0245944,0.0034678048,0.02142267,9.410861,8.077198
0.0037925136,0.024615245,0.0034861038,0.022366302,9.434015,8.159569
0.003791738,0.024623852,0.0034306021,0.02269779,9.4167,8.190062
0.0037891984,0.024536222,0.0034453212,0.022831295,9.389889,8.230564
0.003802212,0.024637518,0.003493686,0.021577725,9.451968,8.1330805
0.0038044758,0.024590619,0.0034040262,0.02141081,9.4444065,8.093223
0.0037943614,0.024636326,0.0035303945,0.022600548,9.443281,8.187856
0.0037885667,0.024656266,0.003505435,0.020881332,9.442932,8.045417
0.0037804034,0.024691204,0.0034438935,0.021797268,9.437262,8.140997
0.0037823215,0.02478915,0.0034572564,0.022319227,9.424385,8.17032
0.0037833217,0.024747869,0.0034888745,0.021327768,9.447359,8.096865
0.0037888628,0.024802392,0.0034643626,0.023112621,9.480664,8.245546
0.003776671,0.02474676,0.0034812603,0.023236142,9.430702,8.266324
0.0037760471,0.024877274,0.0034735894,0.021918373,9.458018,8.159139
0.0037698955,0.024872784,0.0035076519,0.022587107,9.47738,8.209037
0.0037785103,0.025055448,0.0034401952,0.022605944,9.4781,8.2441225
0.0037799815,0.025041968,0.0034591565,0.02263384,9.475794,8.23205
0.0037645805,0.025014274,0.003509936,0.023212595,9.458079,8.267588
0.0037619008,0.02511581,0.0034520067,0.022795986,9.497478,8.253788
0.0037580703,0.02502323,0.0035109976,0.022822805,9.466854,8.233346
0.0037535287,0.025088465,0.003447375,0.022537598,9.480511,8.188292
0.00376218,0.025261262,0.0034152498,0.023038682,9.504208,8.236213
0.0037579492,0.025228662,0.0035072924,0.022741016,9.504658,8.213149
0.003753007,0.025367862,0.0034441648,0.023518844,9.498961,8.307317
0.0037555369,0.025435561,0.0034881786,0.022727301,9.512608,8.256668
0.003750515,0.025387546,0.0035470629,0.021654481,9.508737,8.109306
0.0037644557,0.025560498,0.0035031782,0.022677414,9.526212,8.235792
0.0037488788,0.025400989,0.0034704376,0.02149388,9.512428,8.126058
0.003758619,0.025591724,0.0034759576,0.022466687,9.5196905,8.191283
0.0037629653,0.025648491,0.0034805487,0.023130301,9.5315485,8.243148
0.0037455584,0.02565804,0.003459694,0.02306596,9.505432,8.235103
0.0037421272,0.025646806,0.0034252785,0.02382145,9.495251,8.316693
0.003750637,0.02571333,0.003403864,0.023167768,9.550085,8.25739
0.003741145,0.025645211,0.0035015896,0.023358313,9.503121,8.273588
0.0037378178,0.02558633,0.0034744064,0.024245843,9.518932,8.372544
0.0037321167,0.025691139,0.0034726895,0.023001555,9.537973,8.23821
0.003733694,0.02576842,0.003558417,0.023781676,9.5245285,8.297003
0.0037426173,0.025713744,0.003472791,0.024290936,9.514319,8.381349
0.0037352555,0.025720278,0.0034731992,0.022661814,9.508519,8.22328
0.0037343036,0.025659872,0.0034364874,0.023104537,9.500587,8.251687
0.0037255918,0.025667056,0.0034868459,0.023219928,9.507173,8.264515
0.003729399,0.025659304,0.003425145,0.023051165,9.510431,8.217104
0.003729103,0.025702946,0.0034629407,0.022141282,9.481236,8.138586
0.0037247806,0.02568312,0.0034583872,0.02295826,9.496282,8.20305
0.0037359612,0.025742924,0.0035314306,0.023052271,9.506409,8.224589
0.003754469,0.02583936,0.0033956496,0.023378484,9.519342,8.269662
0.003734472,0.025890155,0.0034520405,0.024296878,9.532118,8.367239
0.0037233373,0.025883734,0.0035148151,0.025874805,9.508864,8.489899
0.00372515,0.026015574,0.0034822333,0.023918627,9.533108,8.297767
